,Id,Education,Marital_Status,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Total_spend,Age,Tenure,Total_dependencies,Total_spend_cluster,Income and Expenditure cluster
557,5991,Master,Married,0.0410800773538699,24,3,5,1,4,7,-0.45491442974078394,75,11,1,0,2
558,2807,Graduation,Married,0.49921520643331235,24,3,8,9,7,7,0.937955860359153,55,11,1,2,0
559,1052,Graduation,Married,0.49921520643331235,24,3,8,9,7,7,0.937955860359153,55,11,1,2,0
560,9760,PhD,Widow,0.2598149620219174,24,6,10,5,10,8,1.31128299933832,61,11,1,1,0
561,7101,PhD,Widow,0.2598149620219174,24,6,10,5,10,8,1.31128299933832,61,11,1,1,0
562,9909,2n Cycle,Married,-2.112886265125813,24,3,3,1,3,9,-0.7278033029032206,28,12,0,0,1
563,5907,Master,Married,-0.7381629492760492,24,1,1,0,2,8,-0.9248897112983137,72,12,2,0,1
564,793,Graduation,Married,-1.403110640094685,24,1,2,0,3,9,-0.8737230475803568,51,12,1,0,1
565,8832,Master,Together,-0.522766315028081,24,2,3,0,4,7,-0.725908241284037,48,12,1,0,1
567,1523,Graduation,Married,0.6181734952123256,25,2,2,0,4,5,-0.7770749050019938,51,10,2,0,2
568,1839,Graduation,Single,-0.21474647864839105,25,1,3,0,4,7,-0.6917971321387324,50,10,0,0,2
569,9972,PhD,Together,-0.07204952021548121,25,1,1,0,3,7,-0.8718279859611732,69,10,2,0,2
570,2945,PhD,Together,-0.07204952021548121,25,1,1,0,3,7,-0.8718279859611732,69,10,2,0,2
571,9291,Master,Married,-0.6958784439550458,25,1,0,0,3,5,-0.9305748961558644,65,10,1,0,1
572,2829,Graduation,Married,0.9450570958705583,25,2,9,3,8,6,0.42628922317958434,69,10,1,2,0
573,8594,PhD,Widow,0.16666187887113554,25,2,3,1,3,6,-0.7031675018538339,66,10,1,0,2
576,6950,Master,Married,0.11642915826422927,25,2,2,0,3,7,-0.8566674930077045,66,11,2,0,2
577,8492,Graduation,Together,1.4869664140634173,25,1,8,4,10,6,1.8703261769974782,46,11,0,1,0
578,5684,Master,Divorced,-0.14517310084578777,25,2,2,0,3,7,-0.8301366303391343,53,11,2,0,2
579,5909,Graduation,Married,0.5901427893040414,25,5,3,4,8,8,1.260116335620363,60,11,1,1,0
580,9855,PhD,Single,0.7749652887522366,25,1,6,6,13,4,0.9739620311236412,72,11,1,2,0
581,975,Graduation,Single,0.36441347518439937,25,5,4,1,5,6,-0.4587045529791511,68,11,2,0,2
582,8754,PhD,Together,-0.12222925272048143,25,1,1,0,2,7,-0.9210995880599465,50,11,1,0,2
583,1456,Graduation,Single,0.6941054452436511,25,7,10,2,12,7,1.2771718901930154,45,11,1,1,0
584,2849,Graduation,Single,0.6941054452436511,25,7,10,2,12,7,1.2771718901930154,45,11,1,1,0
585,9984,2n Cycle,Married,0.47489366765844954,25,5,8,5,4,8,0.4130237918452992,43,11,2,2,2
586,5527,Graduation,Together,-1.3215619512613213,25,2,2,0,3,8,-0.8490872465309701,37,11,1,0,1
587,5628,Graduation,Together,0.7440202372391213,25,1,10,3,10,6,2.196276775497055,42,11,0,1,0
589,1351,Master,Together,0.5977730759785082,25,4,7,8,13,6,1.3529743549603588,68,12,1,1,0
590,10629,2n Cycle,Married,-2.5102970294209572,25,3,3,0,3,8,-0.7524391039526072,51,12,1,0,1
591,10395,Basic,Single,-2.0365833983811448,25,3,3,1,3,8,-0.7675995969060759,38,12,1,0,1
592,6961,Graduation,Married,-1.092812315333036,26,1,1,0,2,8,-0.9381551426325988,50,10,2,0,1
593,10196,Graduation,Married,1.2744841254202801,26,2,8,2,8,4,0.20456701373510455,46,10,2,2,2
594,6182,Graduation,Together,-1.098376066033168,26,2,2,0,4,6,-0.8585625546268881,40,10,1,0,1
595,10432,Graduation,Divorced,-1.4851892099471087,26,1,1,0,3,8,-0.9173094648215793,50,10,1,0,1
596,1542,Graduation,Single,0.4699127860792837,26,6,4,2,8,5,-0.20855641924691753,49,11,3,0,2
597,4220,PhD,Married,0.663266369934348,26,1,2,1,3,3,-0.7941304595746461,54,11,1,0,2
598,4141,Graduation,Together,1.2843399123747996,26,1,8,2,10,4,0.5115669960428457,59,11,0,2,0
599,1940,Graduation,Married,-1.172241480090159,26,1,1,0,2,8,-0.9248897112983137,38,11,1,0,1
600,1506,Graduation,Single,-0.2763186530631854,26,4,2,1,4,6,-0.693692193757916,49,11,2,0,2
601,6347,Basic,Single,-1.6697997569876797,26,1,1,0,3,8,-0.8907786021530091,45,11,1,0,1
603,9422,Graduation,Married,-0.47767344030605857,26,2,2,1,4,3,-0.7107477483305683,35,11,1,0,1
604,1081,PhD,Married,1.4788062463698903,26,11,6,3,5,4,0.9720669695044577,67,11,3,2,0
605,7458,Master,Together,-0.6588397607227384,26,2,3,0,3,8,-0.7751798433828102,68,11,2,0,1
606,1012,Graduation,Single,0.7655863947148711,26,4,8,2,10,7,0.7162336509146732,72,11,1,2,0
608,6818,Graduation,Married,-0.12641531277105697,26,5,5,1,5,6,-0.2597230829648744,50,12,1,0,2
609,7807,Graduation,Married,-0.12641531277105697,26,5,5,1,5,6,-0.2597230829648744,50,12,1,0,2
610,7532,Graduation,Married,-0.20075761974520198,26,3,3,0,4,8,-0.7088526867113847,44,12,1,0,2
611,8346,Graduation,Single,-0.8023315406842385,26,2,6,2,2,9,-0.3980625811652763,50,12,1,0,1
612,5564,Graduation,Together,0.8217007946333456,26,2,7,5,6,4,1.576591626024022,55,12,1,1,0
613,3267,Master,Together,0.5252853525710738,27,3,8,1,8,6,0.19319664402000303,61,10,1,2,2
614,3091,2n Cycle,Together,1.5048234044057458,27,1,7,5,8,4,0.6006348921444744,43,10,1,2,0
615,762,2n Cycle,Together,1.5048234044057458,27,1,7,5,8,4,0.6006348921444744,43,10,1,2,0
617,4376,2n Cycle,Single,-0.8031263622128288,27,1,2,1,3,7,-0.7827600898595446,64,10,0,0,1
620,1158,Graduation,Divorced,0.07960242743954589,27,1,3,0,4,7,-0.6861119472811816,58,10,1,0,2
621,9119,Graduation,Together,0.7169433171651455,27,2,3,3,7,2,-0.2161366657236519,74,11,1,0,2
622,6694,Graduation,Married,1.4763158055803074,27,1,8,3,13,4,1.0649249888444534,60,11,1,2,0
623,10573,Graduation,Divorced,0.8041617329024532,27,1,6,7,4,3,-0.16117987876732784,71,11,0,0,2
624,10140,PhD,Together,1.205387640534831,27,1,5,7,4,3,2.313770595886438,41,11,0,1,0
625,2286,Graduation,Single,0.18070372587623063,27,2,2,1,3,6,-0.7429637958566893,62,11,2,0,2
626,8420,2n Cycle,Married,-1.6987842487302722,27,2,2,0,4,5,-0.8377168768158686,54,11,0,0,1
627,10065,2n Cycle,Married,-1.6987842487302722,27,2,2,0,4,5,-0.8377168768158686,54,11,0,0,1
628,1029,PhD,Together,0.902825578651461,27,1,5,1,5,5,-0.43027862869139727,54,11,1,0,2
630,10277,Graduation,Single,-0.916361935985992,27,1,1,0,3,7,-0.8794082324379076,63,11,1,0,1
631,4436,Graduation,Single,-1.4409971329574887,27,1,2,1,4,7,-0.6993773786154668,48,11,0,0,1
632,2929,Graduation,Single,-1.4409971329574887,27,1,2,1,4,7,-0.6993773786154668,48,11,0,0,1
633,6281,Graduation,Divorced,0.44039841331763097,27,2,6,3,5,4,0.9019496895946648,58,11,1,2,0
634,10390,2n Cycle,Married,-1.0856059334738175,27,1,1,0,3,6,-0.9021489718681106,65,11,1,0,1
635,2574,PhD,Married,0.7747533363446125,27,3,6,4,8,5,1.3719249711521946,47,11,1,1,0
636,709,Graduation,Divorced,0.2205507785095571,27,3,2,2,11,8,1.131252145515879,72,12,1,2,0
637,5955,Graduation,Together,1.3061710103600797,27,1,4,3,8,3,2.702258227819073,62,12,0,1,0
638,8486,Master,Together,-0.8921463734149412,27,4,9,0,4,10,-0.2635132062032416,53,12,1,0,1
639,10343,2n Cycle,Single,0.7547238338241372,27,2,3,6,8,3,1.5898570573583073,33,12,0,1,0
640,6652,Graduation,Married,1.58796173629629,28,1,3,4,9,1,1.1899990557105702,59,10,0,2,0
641,8746,Graduation,Married,1.486754461655793,28,2,2,5,10,6,1.292332383146484,35,10,1,1,0
643,3551,Master,Together,0.6707376923030967,28,2,2,1,5,2,-0.5837786198452679,70,10,1,0,2
644,4338,Graduation,Single,-0.44047579276803306,28,1,1,0,3,4,-0.8756181091995404,41,10,1,0,1
645,4444,Graduation,Married,-0.9194352458965411,28,1,2,0,3,8,-0.8434020616734194,52,10,1,0,1
646,498,Graduation,Single,-0.9198591507117893,28,2,1,0,4,5,-0.8509823081501537,54,10,1,0,1
647,8230,Graduation,Married,-0.7496083792877494,28,1,2,0,3,7,-0.8244514454815836,44,10,1,0,1
648,2826,Graduation,Married,-1.3141436169944785,28,2,2,0,3,7,-0.8888835405338255,57,11,3,0,1
649,6222,Graduation,Married,-1.3141436169944785,28,2,2,0,3,7,-0.8888835405338255,57,11,3,0,1
650,7352,Graduation,Married,0.4181963986190089,28,4,3,4,6,3,-0.19150086467426525,67,11,1,0,2
651,10928,Graduation,Together,1.0338651546650466,28,2,7,1,7,5,0.17614108944735074,66,11,1,2,2
652,10736,Graduation,Single,1.318517238104182,28,2,6,9,5,2,1.930968148811353,53,11,1,1,0
654,6168,Graduation,Divorced,-0.11809618077181194,28,2,1,1,2,4,-0.8585625546268881,61,11,2,0,2
655,4656,2n Cycle,Single,0.2053431932625296,28,5,10,5,4,9,0.38649292917672895,34,11,1,2,2
656,626,Graduation,Married,-0.7685251316681982,28,1,1,0,3,4,-0.8775131708187239,73,11,2,0,1
657,3870,2n Cycle,Together,0.8732582177879022,28,1,7,3,13,4,0.9474311684550709,46,11,0,2,0
658,6299,PhD,Divorced,-0.25491145989315367,28,6,6,8,4,7,0.5816842759526385,56,11,1,2,2
659,7798,2n Cycle,Together,-0.05461643468840087,28,4,7,1,5,7,-0.14601938581385915,52,12,1,0,2
660,9973,Graduation,Married,0.16226386641293591,28,3,7,1,8,7,-0.0304206270436603,61,12,2,2,2
661,4299,Graduation,Together,1.2503215509511352,28,7,11,11,5,7,2.4994866345664293,64,12,1,1,0
662,10971,Graduation,Single,-0.5087244680229859,28,4,7,2,3,9,-0.0626366745697813,47,12,2,2,2
663,9931,PhD,Married,-2.297125895453042,29,15,0,0,0,19,-0.9419452658709659,61,10,2,0,1
664,6679,Graduation,Single,-0.7469059860905424,29,1,0,0,3,3,-0.9286798345366808,58,10,0,0,1
665,5961,Graduation,Married,-0.24807599474727715,29,1,1,0,3,5,-0.8509823081501537,46,10,1,0,2
666,6255,Master,Together,1.2277486195391711,29,1,4,1,7,2,-0.3260502396363,72,10,1,0,2
667,8614,Graduation,Widow,0.9596818119966196,29,1,4,2,10,2,0.0017954204824606906,67,10,1,2,2
668,7828,Master,Together,1.6165223232236343,29,1,3,3,5,1,0.5911595840485564,43,10,0,2,0
669,1277,Graduation,Together,1.6475733509405617,29,1,10,7,10,4,0.9436410452167038,64,10,0,2,0
670,3595,Graduation,Together,1.5817621283732857,29,2,6,8,12,3,1.1975793021873047,61,10,1,2,0
673,4137,Graduation,Together,1.2341601798697994,29,1,7,4,4,4,1.0800854817979222,76,11,0,2,0
674,6357,2n Cycle,Divorced,0.6187563643332917,29,3,7,1,7,5,-0.02852556542447671,65,11,1,2,2
675,9316,Basic,Together,-1.8170007040826013,29,1,1,0,3,6,-0.9040440334872942,72,11,0,0,1
676,3578,Graduation,Divorced,0.09459806027894935,29,2,3,1,6,6,-0.5117662783162915,75,11,1,0,2
677,153,Graduation,Divorced,-1.2771579218640772,29,1,1,0,3,4,-0.8718279859611732,71,11,0,0,1
678,10524,Master,Divorced,0.11134230048125142,29,4,2,11,5,2,0.5475731668073339,61,11,1,2,2
679,1518,Master,Married,0.8117390314750139,29,5,9,3,7,7,0.4604003323248889,59,11,2,2,2
680,2036,PhD,Together,0.5580319995489937,29,3,4,2,8,4,-0.1990811111509996,51,11,1,0,2
681,9495,Graduation,Together,1.2970570568322441,29,1,2,8,6,1,1.218424979998324,42,11,0,1,0
682,2631,Graduation,Together,1.2970570568322441,29,1,2,8,6,1,1.218424979998324,42,11,0,1,0
683,6312,Graduation,Married,0.9355722256293809,29,4,10,3,13,7,0.6764373569118178,65,11,1,2,0
684,615,Graduation,Together,-0.8937890045740278,29,1,5,1,4,7,-0.3089946850636477,64,11,0,0,1
685,4406,Graduation,Together,1.062107812980955,29,4,9,4,8,5,1.8286348213754393,54,11,1,1,0
686,10061,Graduation,Married,0.6404814861147596,29,2,9,2,12,7,1.1028262212281252,74,11,1,2,0
688,4945,Graduation,Widow,0.33267360214269387,29,2,10,4,12,6,1.334023738768523,71,12,0,1,0
689,1777,Basic,Married,-1.1344609634311673,29,1,2,0,3,8,-0.8187662606240328,44,12,0,0,1
690,4023,Graduation,Married,-1.2926834357225407,29,3,3,2,2,8,-0.7410687342375056,54,12,1,0,1
691,7922,PhD,Single,0.9312801893749934,29,2,11,2,10,7,0.8716287036877274,73,12,1,2,0
692,10699,Graduation,Married,-0.1617583767423718,30,2,3,0,3,8,-0.7846551514787282,39,10,1,0,2
693,7516,Graduation,Married,-0.9155671144574017,30,1,2,0,3,6,-0.8737230475803568,41,10,1,0,1
694,3129,Graduation,Married,-0.9155671144574017,30,1,2,0,3,6,-0.8737230475803568,41,10,1,0,1
695,5121,Graduation,Single,0.49031320531310113,30,2,7,6,5,5,0.48314107175509197,47,10,1,2,2
697,10548,Graduation,Single,1.260495266517091,30,1,3,8,12,1,0.8602583339726259,29,10,0,2,0
698,6384,Graduation,Divorced,1.2530239441483422,30,3,5,2,11,8,1.7945237122301347,46,10,1,1,0
699,2625,2n Cycle,Single,-0.2526329715111948,30,2,3,2,7,3,-0.29572925372936254,70,11,1,0,2
700,1676,Graduation,Married,-0.22878832565348617,30,4,4,2,5,5,-0.45491442974078394,49,11,1,0,2
701,5534,Master,Married,0.022958146502011313,30,2,3,2,3,7,-0.5345070177464946,49,11,1,0,2
702,6859,Graduation,Single,-0.9611368820965782,30,2,4,0,3,9,-0.7713897201444431,37,11,1,0,1
703,271,Graduation,Widow,-0.35950997305563565,30,5,3,4,3,6,-0.4700749226942526,55,11,2,0,2
704,7699,Graduation,Widow,-0.35950997305563565,30,5,3,4,3,6,-0.4700749226942526,55,11,2,0,2
705,7832,Master,Married,1.5973406303336553,30,1,8,7,7,4,1.9328632104305365,65,11,1,1,0
706,938,Graduation,Married,-0.37959246367801697,30,2,2,1,2,8,-0.7941304595746461,43,11,2,0,1
707,7873,PhD,Together,0.8552952512417618,30,4,4,1,7,5,-0.39048233468854193,51,11,2,0,2
708,9967,Graduation,Divorced,0.29987396706286795,30,8,6,1,7,8,-0.11190827666855456,50,11,2,0,2
709,1087,Master,Together,-1.3091097473134066,30,3,4,1,2,9,-0.6311551603248575,49,11,1,0,1
711,3762,PhD,Single,1.19182268644689,30,1,3,5,8,1,0.7939311773012003,38,11,0,2,0
712,10383,Graduation,Divorced,1.214077689247418,30,1,5,5,10,3,1.1123015293240432,58,11,0,2,0
713,6798,Graduation,Single,-0.5460280917648234,30,9,5,1,8,7,-0.1384391393371248,58,11,2,0,1
714,4168,Graduation,Single,-0.5460280917648234,30,9,5,1,8,7,-0.1384391393371248,58,11,2,0,1
715,6690,Master,Married,-0.48726428675104805,30,4,3,1,3,7,-0.7884452747170954,58,11,2,0,1
716,10602,Graduation,Married,-0.39490602512885653,30,2,3,0,4,8,-0.6633712078509786,41,11,1,0,1
717,3220,Graduation,Married,-0.39490602512885653,30,2,3,0,4,8,-0.6633712078509786,41,11,1,0,1
718,5424,Graduation,Married,-0.39490602512885653,30,2,3,0,4,8,-0.6633712078509786,41,11,1,0,1
719,7488,Master,Single,0.8910622200283247,30,3,5,3,13,3,0.6044250153828415,61,11,1,2,0
720,5289,2n Cycle,Single,-0.30291868022000706,30,2,1,1,2,4,-0.8225563838623999,49,12,2,0,1
721,347,Graduation,Divorced,-0.349442233693492,30,4,7,1,5,9,-0.2445625900114057,48,12,1,0,2
722,5236,Graduation,Together,1.5998840592251442,30,1,10,2,8,5,3.198764372045173,45,12,1,1,0
723,9478,Graduation,Single,1.0135707116350412,30,2,4,3,6,3,-0.1990811111509996,39,12,1,0,2
725,7411,PhD,Married,-0.831316032426831,31,2,1,0,3,6,-0.9267847729174973,60,10,2,0,1
726,3107,Graduation,Together,1.268920374720148,31,1,4,1,7,2,-0.29572925372936254,48,10,1,0,2
727,7437,Graduation,Single,-1.0299154383705913,31,1,1,0,4,3,-0.9040440334872942,36,10,1,0,1
728,255,Graduation,Divorced,-1.3306229166872505,31,2,1,0,3,6,-0.9192045264407629,73,10,2,0,1
729,3790,Graduation,Together,-0.6751600961097923,31,1,1,0,2,6,-0.9305748961558644,68,10,3,0,1
730,749,Graduation,Together,-0.2762126768593734,31,2,3,1,3,6,-0.684216885661998,43,11,1,0,2
732,8650,Graduation,Widow,0.35964454601285767,31,1,1,0,3,4,-0.8794082324379076,46,11,2,0,2
733,607,2n Cycle,Divorced,-0.29703700090843893,31,6,8,1,7,8,0.028326283151030918,69,11,1,2,2
734,1008,PhD,Together,-0.12832288443967366,31,1,7,3,13,6,0.9758570927428248,43,12,0,2,2
735,9396,PhD,Married,-0.511744789831629,31,1,1,0,2,9,-0.9116242799640285,46,12,1,0,1
736,933,PhD,Married,-0.511744789831629,31,1,1,0,2,9,-0.9116242799640285,46,12,1,0,1
737,5710,Graduation,Together,-0.36173547333568845,31,2,2,1,4,5,-0.7315934261415877,54,12,1,0,1
738,2882,2n Cycle,Divorced,1.087224173284408,31,2,3,2,9,8,0.9265854906440515,49,12,1,2,0
739,2379,Graduation,Single,1.1600298253032784,31,2,3,4,5,7,2.1394249269215475,71,12,0,1,0
740,5342,Basic,Divorced,-2.0043666324222853,31,2,1,0,3,8,-0.9040440334872942,48,12,1,0,1
741,3262,Graduation,Single,1.1077835568239434,31,1,2,9,13,5,2.1773261593052196,66,12,0,1,0
743,5025,Graduation,Single,0.06100360367053313,32,1,2,1,4,3,-0.7031675018538339,45,11,1,0,2
745,3102,2n Cycle,Together,-1.4815860190174994,32,1,1,0,3,8,-0.8983588486297435,43,11,1,0,1
746,9449,PhD,Single,1.7160869667050445,32,1,5,2,11,3,0.18751145916245227,66,11,1,2,0
747,8104,PhD,Married,0.3146046593927413,32,1,5,1,5,7,-0.4321736903105809,73,11,0,0,2
748,75,2n Cycle,Together,-0.335718315299833,32,1,8,1,5,8,-0.07400704428488282,42,11,0,0,2
750,3037,PhD,Married,0.1470562811659084,32,2,5,2,7,5,-0.18202555657834732,41,11,0,0,2
751,4698,PhD,Married,0.1470562811659084,32,2,5,2,7,5,-0.18202555657834732,41,11,0,0,2
752,948,Graduation,Single,-1.9674339253937898,32,3,1,2,2,5,-0.8813032940570912,53,11,1,0,1
753,6177,PhD,Married,-0.737633068256989,32,2,4,0,4,8,-0.6387354068015919,39,11,1,0,1
754,3517,Graduation,Single,-0.34377250678954796,32,3,3,1,3,9,-0.6538958997550606,72,11,2,0,1
755,3491,Graduation,Together,0.4524797005522034,32,4,11,6,8,7,1.4287768197277022,49,11,1,1,0
756,7610,Graduation,Together,-0.5342647331416871,32,5,6,3,5,8,-0.08727247561916793,41,11,1,0,2
757,4377,Graduation,Married,0.2935153948341456,32,2,7,3,3,7,0.13065961058694464,53,11,1,2,2
758,9850,2n Cycle,Married,-1.191741101591574,32,1,0,0,3,7,-0.92299464967913,52,12,1,0,1
759,5544,Graduation,Single,1.0602532294142442,32,2,7,8,5,5,1.8646409921399274,54,12,1,1,0
760,6497,Graduation,Married,0.2265914221268433,32,4,6,2,5,8,-0.1384391393371248,64,12,1,0,2
762,5117,2n Cycle,Married,-0.7811892880237369,32,2,4,4,8,5,0.13255467220612824,61,12,0,2,1
763,1448,Master,Married,-0.731910353251139,33,3,2,0,4,4,-0.8623526778652553,61,10,3,0,1
764,6887,Graduation,Single,1.6834992840328427,33,2,8,1,8,6,0.10981393277592519,57,10,2,2,0
765,7500,Graduation,Single,1.6834992840328427,33,2,8,1,8,6,0.10981393277592519,57,10,2,2,0
766,2724,Master,Single,-0.5951480622317032,33,1,0,1,2,3,-0.92299464967913,43,10,1,0,1
767,2256,Master,Married,-1.0711931697553803,33,2,1,0,3,6,-0.9192045264407629,51,10,2,0,1
768,1100,Master,Together,-0.32321312325001245,33,4,3,1,3,5,-0.8434020616734194,64,10,3,0,1
769,7725,2n Cycle,Married,1.5591891969613214,33,1,4,4,7,1,0.2557336774530614,59,10,0,2,0
770,2612,Graduation,Married,1.505883166443866,33,1,7,5,12,3,2.2284928230231764,37,11,0,1,0
771,113,Graduation,Married,-0.8765148833526655,33,2,1,0,3,5,-0.9059390951064777,73,11,2,0,1
772,2868,PhD,Single,-1.1051585430771387,33,3,2,0,3,8,-0.8509823081501537,75,11,2,0,1
774,199,Master,Single,-0.11613562100128923,33,1,4,1,7,7,-0.3620564104007881,62,11,0,0,2
775,359,Graduation,Together,0.036841029201388355,33,3,8,2,6,7,-0.0038897643750900723,74,11,1,2,2
776,8842,Graduation,Widow,-0.9009423983313404,33,3,2,0,3,7,-0.8756181091995404,53,12,2,0,1
777,2154,Graduation,Widow,-0.9009423983313404,33,3,2,0,3,7,-0.8756181091995404,53,12,2,0,1
778,6050,2n Cycle,Married,0.511932350890757,33,4,6,3,13,9,1.90822740938115,49,12,1,1,0
779,9204,Graduation,Widow,1.0256519988696136,33,4,4,3,6,3,0.9910175856962935,54,12,1,2,0
780,4472,PhD,Divorced,-0.6195755772103781,34,1,1,1,3,2,-0.8509823081501537,54,10,1,0,1
781,6864,Master,Divorced,-1.9285406585947718,34,2,3,0,3,5,-0.9021489718681106,35,10,0,0,1
782,10617,Master,Divorced,-1.9285406585947718,34,2,3,0,3,5,-0.9021489718681106,35,10,0,0,1
783,3924,PhD,Divorced,0.5583499281604298,34,5,8,3,12,5,0.776875622728548,59,10,1,2,0
784,5654,Graduation,Married,-0.6013476701547075,34,2,2,0,3,6,-0.8434020616734194,52,10,3,0,1
785,9216,Graduation,Married,-0.6139588384083401,34,2,2,0,3,6,-0.8756181091995404,53,10,2,0,1
786,8086,Graduation,Married,-0.27192064060498583,34,2,2,0,3,7,-0.8547724313885209,65,11,2,0,1
787,9097,Graduation,Divorced,-0.06828736498015384,34,4,3,1,8,4,-0.3089946850636477,68,11,1,0,2
788,7631,Master,Together,0.7403110701057,34,1,5,7,10,3,0.91521512092895,46,11,1,2,0
789,7275,Master,Single,-0.7449454263200197,34,3,2,1,4,6,-0.7107477483305683,53,11,2,0,1
790,8334,Master,Single,-0.7449454263200197,34,3,2,1,4,6,-0.7107477483305683,53,11,2,0,1
791,1987,Basic,Single,-1.3942086389744737,34,2,2,0,3,6,-0.8471921849117866,37,11,1,0,1
792,2281,Graduation,Single,-0.7247569594938263,34,1,1,0,2,7,-0.9059390951064777,54,11,1,0,1
793,7034,2n Cycle,Married,-1.1429920478380362,34,2,2,0,3,8,-0.8547724313885209,46,11,1,0,1
794,2797,Graduation,Married,1.3110459157354333,34,1,9,7,9,5,1.0744002969403714,47,11,1,2,0
795,3934,Graduation,Married,0.7371317839913388,34,2,7,1,8,5,0.19319664402000303,58,11,1,2,2
796,2493,Graduation,Married,0.7371317839913388,34,2,7,1,8,5,0.19319664402000303,58,11,1,2,2
797,3759,Graduation,Together,0.9443152624438741,34,2,7,6,11,5,1.2297953497134255,66,11,2,1,0
798,965,Graduation,Divorced,0.437696020120424,34,4,7,3,7,6,0.15908553487469845,53,12,1,2,2
799,7378,Master,Together,-0.2836839992281221,34,5,10,1,6,9,0.12686948734857748,43,12,1,2,2
800,1859,Master,Married,1.4771106271088976,34,1,7,6,5,5,2.6226656398133623,52,12,0,1,0
801,6263,Graduation,Together,-0.6386512938965451,34,3,2,0,4,8,-0.7581242888101579,56,12,3,0,1
802,2072,PhD,Together,0.31788992171091446,34,6,4,2,9,9,1.0573447423677191,55,12,1,2,0
804,738,2n Cycle,Single,-0.2638664491152709,35,4,3,1,4,7,-0.6140996057522052,43,10,2,0,2
806,807,Master,Together,-0.1469217082086864,35,6,6,1,4,8,-0.40564282764201065,55,10,2,0,2
808,5423,Graduation,Together,-1.0076074474681571,35,1,1,0,2,7,-0.9286798345366808,41,11,1,0,1
809,4426,Graduation,Single,0.4464920450368232,35,6,7,2,6,7,0.03969665286613244,49,11,2,2,2
811,2570,Graduation,Together,0.4853323237339353,35,4,10,4,7,8,0.5854743991910056,56,11,1,2,2
812,3834,Graduation,Single,1.1791055419894454,35,2,8,2,11,5,0.6726472336734507,62,11,1,2,0
813,590,Master,Divorced,1.6534550302521298,35,1,5,6,4,3,2.4748508335170425,54,12,0,1,0
814,4791,Graduation,Together,-0.12774001531870743,35,1,1,0,3,8,-0.8813032940570912,44,12,2,0,2
815,5304,PhD,Single,-0.8730176686268682,35,2,1,0,3,6,-0.8964637870105598,50,12,1,0,1
816,2426,PhD,Divorced,1.6664901033210104,35,1,5,10,13,3,0.7370793287256927,60,12,0,2,0
817,35,Graduation,Married,-1.1567159662316953,35,3,2,2,3,6,-0.5610378804150649,37,12,1,0,1
818,8041,PhD,Widow,-0.013974560526484107,35,6,3,2,10,9,1.1104064677048595,53,12,1,2,0
819,3584,PhD,Single,0.1214630279453011,35,2,5,10,5,8,1.6865051999366703,69,12,0,1,0
820,7718,Master,Together,0.9869176963763135,36,1,1,3,5,1,0.3883879907959126,77,10,0,2,2
821,8605,PhD,Together,-0.024625169009593977,36,2,2,0,3,6,-0.8301366303391343,60,10,2,0,2
822,1646,Basic,Married,-1.1737251469435275,36,2,1,1,3,3,-0.8718279859611732,52,10,1,0,1
823,9206,Graduation,Together,1.5900282722706247,36,2,5,7,12,1,1.1653632546611836,56,10,1,2,0
824,10757,PhD,Divorced,-1.00437517325189,36,1,1,0,2,6,-0.9343650193942316,57,11,1,0,1
825,6885,Graduation,Divorced,-0.7642330954138107,36,1,2,0,3,7,-0.8547724313885209,47,11,1,0,1
826,907,Graduation,Married,-0.06494911456007463,36,5,5,1,7,5,-0.2729885142991595,49,11,1,0,2
828,3867,PhD,Together,1.3609607077309034,36,1,9,3,13,4,1.1160916525624103,77,11,1,2,0
829,3859,PhD,Together,1.3609607077309034,36,1,9,3,13,4,1.1160916525624103,77,11,1,2,0
830,3265,Graduation,Married,-0.6185688032741637,36,1,1,0,3,6,-0.8718279859611732,65,11,0,0,1
833,4530,Master,Widow,1.6454008387624148,36,3,3,7,10,3,2.698468104580706,76,12,0,1,0
834,7736,Graduation,Married,-1.3171109507012155,36,2,2,1,2,5,-0.8434020616734194,38,12,1,0,1
835,9949,Graduation,Married,0.6588683574761484,36,3,3,3,6,8,0.7029682195803881,48,12,2,2,0
836,942,Graduation,Single,-0.40878890782823357,36,3,7,1,3,9,-0.39237739630772556,42,12,1,0,2
837,6181,2n Cycle,Together,0.2558408543789659,36,1,8,7,11,6,0.8204620399697705,74,12,0,2,0
838,7660,PhD,Alone,-0.6101436950711067,37,2,1,1,2,5,-0.8661428011036224,51,10,2,0,1
839,2055,PhD,Divorced,-0.6101436950711067,37,2,1,1,2,5,-0.8661428011036224,51,10,2,0,1
840,5107,PhD,Divorced,-0.6101436950711067,37,2,1,1,2,5,-0.8661428011036224,51,10,2,0,1
841,1626,PhD,Divorced,-0.6101436950711067,37,2,1,1,2,5,-0.8661428011036224,51,10,2,0,1
842,6428,PhD,Widow,1.5614146972413743,37,1,1,8,7,0,1.182418809233836,74,10,0,2,0
843,9617,Graduation,Single,-1.7137268934677696,37,1,1,0,3,3,-0.92299464967913,73,10,0,0,1
844,4339,PhD,Married,1.0586105982551577,37,5,5,6,12,2,0.7711904378709973,54,11,1,2,0
